O*NET-SOC Code,Title,High School Diploma or Less,"Post-Secondary Certificate, Some College, or Associate's Degree",Bachelor's Degree,Postgraduate Degree,Values Achievement,Values Independence,Values Recognition,Values Relationships,Values Support,Values Working Conditions,Interest in Artistic Aspect,Interest in Conventional Aspect,Interest in Enterprising Aspect,Interest in Investigative Aspect,Interest in Realistic Aspect,Interest in Social Aspect
194,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,0.109,0.688,0.11,0.093,0.524,0.571,0.476,0.761,0.714,0.571,0.197,0.654,0.143,0.626,1.0,0.143
195,17-3024.01,Robotics Technicians,0.091,0.681,0.182,0.046,0.714,0.714,0.714,0.524,0.81,0.761,0.143,0.641,0.149,0.583,0.997,0.156
196,17-3025.00,Environmental Engineering Technologists and Technicians,0.108,0.16300000000000003,0.673,0.056,0.619,0.619,0.476,0.571,0.857,0.667,0.247,0.726,0.179,0.844,0.887,0.214
197,17-3026.00,Industrial Engineering Technologists and Technicians,0.217,0.636,0.146,0.0,0.667,0.619,0.571,0.571,0.761,0.596,0.17,0.746,0.341,0.734,0.769,0.207
199,17-3027.00,Mechanical Engineering Technologists and Technicians,0.078,0.557,0.365,0.0,0.524,0.476,0.524,0.571,0.761,0.619,0.283,0.689,0.149,0.796,0.911,0.164
200,17-3027.01,Automotive Engineering Technicians,0.037,0.5549999999999999,0.296,0.111,0.81,0.667,0.571,0.381,0.667,0.667,0.199,0.661,0.189,0.761,1.0,0.143
203,17-3029.01,Non-Destructive Testing Specialists,0.682,0.228,0.046,0.046,0.571,0.619,0.429,0.429,0.714,0.571,0.179,0.69,0.143,0.721,0.88,0.21
204,17-3029.08,Photonics Technicians,0.273,0.546,0.136,0.046,0.667,0.619,0.619,0.619,0.667,0.619,0.151,0.731,0.143,0.609,1.0,0.143
206,19-1011.00,Animal Scientists,0.0,0.088,0.13,0.782,0.761,0.761,0.761,0.476,0.429,0.643,0.293,0.477,0.317,0.993,0.75,0.294
207,19-1012.00,Food Scientists and Technologists,0.0,0.0,0.565,0.434,0.714,0.619,0.667,0.619,0.714,0.643,0.351,0.566,0.363,0.813,0.727,0.306
208,19-1013.00,Soil and Plant Scientists,0.0,0.096,0.238,0.6679999999999999,0.857,0.81,0.761,0.571,0.476,0.714,0.301,0.487,0.246,0.96,0.919,0.24
209,19-1021.00,Biochemists and Biophysicists,0.0,0.0,0.25,0.75,0.81,0.714,0.857,0.524,0.524,0.81,0.373,0.516,0.26,1.0,0.729,0.309
210,19-1022.00,Microbiologists,0.0,0.091,0.636,0.273,0.714,0.714,0.761,0.619,0.571,0.667,0.263,0.557,0.17,1.0,0.763,0.303
211,19-1023.00,Zoologists and Wildlife Biologists,0.0,0.0,0.572,0.42800000000000005,0.761,0.524,0.714,0.429,0.429,0.69,0.32,0.527,0.354,1.0,0.76,0.367
213,19-1029.01,Bioinformatics Scientists,0.0,0.0,0.336,0.663,0.714,0.761,0.714,0.476,0.524,0.667,0.366,0.719,0.181,1.0,0.534,0.233
214,19-1029.02,Molecular and Cellular Biologists,0.0,0.0,0.346,0.6539999999999999,0.81,0.857,0.81,0.429,0.619,0.833,0.3,0.71,0.334,0.953,0.714,0.321
215,19-1029.03,Geneticists,0.0,0.0,0.04,0.96,0.81,0.81,0.857,0.524,0.524,0.714,0.434,0.63,0.241,1.0,0.564,0.423
216,19-1029.04,Biologists,0.0,0.0,0.322,0.6779999999999999,0.81,0.667,0.761,0.619,0.429,0.619,0.331,0.643,0.419,0.996,0.593,0.366
217,19-1031.00,Conservation Scientists,0.0,0.044,0.696,0.261,0.714,0.714,0.619,0.81,0.476,0.714,0.281,0.571,0.454,0.814,0.737,0.411
218,19-1031.02,Range Managers,0.0,0.097,0.803,0.1,0.667,0.714,0.571,0.571,0.524,0.761,0.207,0.547,0.633,0.7,0.814,0.359
219,19-1031.03,Park Naturalists,0.109,0.29200000000000004,0.498,0.102,0.619,0.571,0.571,0.714,0.429,0.643,0.586,0.437,0.483,0.644,0.604,0.693
220,19-1032.00,Foresters,0.0,0.152,0.84,0.008,0.571,0.81,0.524,0.571,0.524,0.643,0.177,0.616,0.54,0.629,0.76,0.344
221,19-1041.00,Epidemiologists,0.0,0.0,0.0,1.0,0.81,0.761,0.761,0.714,0.619,0.643,0.289,0.524,0.354,1.0,0.454,0.576
222,19-1042.00,"Medical Scientists, Except Epidemiologists",0.0,0.0,0.08,0.92,0.81,0.81,0.81,0.619,0.476,0.786,0.329,0.564,0.319,1.0,0.633,0.463
224,19-2011.00,Astronomers,0.0,0.0,0.0,1.0,0.857,0.81,0.81,0.333,0.333,0.786,0.463,0.567,0.284,1.0,0.693,0.401
225,19-2012.00,Physicists,0.0,0.0,0.038,0.962,0.857,0.857,0.904,0.381,0.524,0.881,0.394,0.694,0.26,1.0,0.707,0.301
226,19-2021.00,Atmospheric and Space Scientists,0.0,0.0,0.6,0.39999999999999997,0.761,0.714,0.667,0.714,0.429,0.714,0.389,0.64,0.384,0.907,0.689,0.35
227,19-2031.00,Chemists,0.0,0.0,0.559,0.441,0.81,0.761,0.714,0.429,0.667,0.739,0.214,0.707,0.229,0.951,0.809,0.164
228,19-2032.00,Materials Scientists,0.0,0.048,0.619,0.334,0.81,0.761,0.761,0.524,0.571,0.739,0.311,0.594,0.271,0.944,0.824,0.193
229,19-2041.00,"Environmental Scientists and Specialists, Including Health",0.213,0.008,0.475,0.305,0.714,0.714,0.714,0.571,0.524,0.667,0.256,0.634,0.369,1.0,0.671,0.374
230,19-2041.01,Climate Change Policy Analysts,0.0,0.0,0.13,0.8710000000000001,0.857,0.761,0.714,0.667,0.381,0.667,0.444,0.58,0.67,0.961,0.196,0.453
231,19-2041.02,Environmental Restoration Planners,0.0,0.0,0.5,0.5,0.857,0.81,0.761,0.667,0.429,0.714,0.32,0.59,0.519,0.893,0.759,0.303
232,19-2041.03,Industrial Ecologists,0.0,0.0,0.217,0.783,0.857,0.761,0.667,0.524,0.476,0.739,0.306,0.569,0.434,1.0,0.66,0.279
233,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",0.0,0.0,0.375,0.625,0.761,0.81,0.761,0.476,0.333,0.761,0.386,0.594,0.239,1.0,0.809,0.319
234,19-2043.00,Hydrologists,0.0,0.0,0.391,0.6100000000000001,0.761,0.619,0.571,0.333,0.429,0.739,0.266,0.621,0.31,0.933,0.816,0.309
236,19-2099.01,Remote Sensing Scientists and Technologists,0.0,0.04,0.6,0.36,0.81,0.761,0.761,0.571,0.619,0.714,0.267,0.691,0.213,0.863,0.691,0.187
237,19-3011.00,Economists,0.0,0.0,0.208,0.792,0.714,0.761,0.714,0.333,0.476,0.81,0.356,0.62,0.543,1.0,0.22,0.317
238,19-3011.01,Environmental Economists,0.0,0.0,0.111,0.888,0.904,0.857,0.761,0.524,0.381,0.81,0.361,0.583,0.587,1.0,0.391,0.326
239,19-3022.00,Survey Researchers,0.0,0.0,0.458,0.543,0.667,0.761,0.667,0.667,0.476,0.524,0.301,0.78,0.436,0.871,0.243,0.33
240,19-3032.00,Industrial-Organizational Psychologists,0.0,0.076,0.038,0.885,0.81,0.81,0.667,0.857,0.714,0.881,0.466,0.577,0.664,0.76,0.159,0.597
241,19-3033.00,Clinical and Counseling Psychologists,0.0,0.0,0.0,1.0,0.833,0.857,0.761,0.976,0.453,0.821,0.431,0.507,0.381,0.786,0.153,0.939
242,19-3034.00,School Psychologists,0.0,0.0,0.0,1.0,0.761,0.81,0.761,1.0,0.524,0.69,0.473,0.573,0.403,0.714,0.143,0.967
246,19-3041.00,Sociologists,0.0,0.0,0.1,0.9,0.81,0.81,0.761,0.476,0.381,0.739,0.566,0.51,0.44,0.919,0.23,0.631
247,19-3051.00,Urban and Regional Planners,0.0,0.0,0.4,0.6000000000000001,0.714,0.619,0.667,0.761,0.524,0.714,0.423,0.564,0.647,0.769,0.451,0.429
248,19-3091.00,Anthropologists and Archeologists,0.0,0.1,0.2,0.7,0.833,0.786,0.739,0.667,0.429,0.739,0.556,0.506,0.223,0.963,0.65,0.474
249,19-3092.00,Geographers,0.0,0.05,0.45,0.5,0.81,0.857,0.619,0.429,0.524,0.786,0.529,0.53,0.307,0.961,0.741,0.384
250,19-3093.00,Historians,0.184,0.33699999999999997,0.204,0.27499999999999997,0.714,0.714,0.714,0.714,0.429,0.643,0.516,0.71,0.343,0.741,0.346,0.459
251,19-3094.00,Political Scientists,0.0,0.0,0.0,1.0,0.81,0.714,0.761,0.476,0.333,0.81,0.54,0.514,0.529,0.946,0.143,0.496
253,19-3099.01,Transportation Planners,0.0,0.0,0.55,0.45,0.714,0.667,0.619,0.619,0.524,0.643,0.311,0.67,0.459,0.786,0.457,0.293
254,19-4012.00,Agricultural Technicians,0.44499999999999995,0.187,0.182,0.187,0.429,0.476,0.381,0.714,0.667,0.476,0.143,0.663,0.257,0.709,0.897,0.223
255,19-4012.01,Precision Agriculture Technicians,0.087,0.522,0.348,0.044,0.619,0.667,0.476,0.429,0.619,0.69,0.167,0.689,0.307,0.786,0.936,0.206
256,19-4013.00,Food Science Technicians,0.171,0.354,0.323,0.15200000000000002,0.571,0.571,0.476,0.667,0.857,0.476,0.196,0.724,0.257,0.65,0.794,0.239
257,19-4021.00,Biological Technicians,0.014,0.023,0.488,0.475,0.619,0.524,0.429,0.476,0.619,0.547,0.177,0.767,0.169,0.796,0.8,0.283
258,19-4031.00,Chemical Technicians,0.333,0.229,0.437,0.0,0.476,0.524,0.429,0.619,0.761,0.524,0.224,0.724,0.146,0.84,0.777,0.246
259,19-4042.00,"Environmental Science and Protection Technicians, Including Health",0.046,0.273,0.682,0.0,0.667,0.524,0.571,0.619,0.667,0.5,0.161,0.701,0.21,0.796,0.79,0.296
263,19-4051.02,Nuclear Monitoring Technicians,0.271,0.571,0.159,0.0,0.619,0.667,0.524,0.714,1.0,0.619,0.143,0.789,0.239,0.617,0.874,0.264
264,19-4061.00,Social Science Research Assistants,0.0,0.086,0.527,0.387,0.571,0.667,0.429,0.524,0.429,0.571,0.293,0.826,0.336,0.857,0.354,0.394
265,19-4071.00,Forest and Conservation Technicians,0.353,0.499,0.14,0.008,0.619,0.667,0.381,0.619,0.619,0.619,0.143,0.671,0.351,0.627,0.933,0.403
266,19-4092.00,Forensic Science Technicians,0.293,0.363,0.153,0.191,0.571,0.571,0.619,0.429,0.761,0.547,0.257,0.72,0.244,0.873,0.719,0.241
268,19-4099.01,Quality Control Analysts,0.434,0.286,0.279,0.0,0.524,0.619,0.571,0.571,0.667,0.596,0.16,0.833,0.346,0.709,0.58,0.17
269,19-4099.03,Remote Sensing Technicians,0.095,0.197,0.62,0.08700000000000001,0.619,0.619,0.524,0.571,0.761,0.643,0.29,0.737,0.239,0.667,0.737,0.21
270,19-5011.00,Occupational Health and Safety Specialists,0.0,0.088,0.739,0.174,0.714,0.714,0.667,0.667,0.81,0.739,0.171,0.687,0.444,0.713,0.66,0.481
271,19-5012.00,Occupational Health and Safety Technicians,0.095,0.333,0.476,0.096,0.619,0.619,0.524,0.81,0.761,0.571,0.143,0.756,0.391,0.703,0.767,0.43
272,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,0.237,0.237,0.031,0.496,0.761,0.714,0.714,0.953,0.571,0.619,0.339,0.521,0.39,0.543,0.231,0.95
273,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",0.0,0.025,0.563,0.412,0.761,0.667,0.667,1.0,0.524,0.714,0.489,0.483,0.601,0.473,0.143,1.0
274,21-1013.00,Marriage and Family Therapists,0.0,0.02,0.0,0.9810000000000001,0.81,0.857,0.714,1.0,0.381,0.761,0.511,0.404,0.266,0.75,0.213,0.903
275,21-1014.00,Mental Health Counselors,0.056,0.024,0.246,0.674,0.761,0.761,0.667,0.904,0.429,0.596,0.437,0.493,0.416,0.634,0.189,0.966
276,21-1015.00,Rehabilitation Counselors,0.129,0.0,0.559,0.31300000000000006,0.81,0.571,0.571,0.857,0.667,0.571,0.427,0.466,0.509,0.466,0.176,0.973
278,21-1021.00,"Child, Family, and School Social Workers",0.0,0.055,0.687,0.258,0.857,0.761,0.524,0.953,0.667,0.714,0.414,0.51,0.419,0.474,0.243,0.979
279,21-1022.00,Healthcare Social Workers,0.0,0.0,0.148,0.852,0.81,0.81,0.619,0.953,0.667,0.761,0.333,0.437,0.361,0.606,0.281,0.989
280,21-1023.00,Mental Health and Substance Abuse Social Workers,0.0,0.0,0.188,0.812,0.857,0.761,0.571,0.857,0.667,0.619,0.397,0.436,0.346,0.583,0.246,0.994
282,21-1091.00,Health Education Specialists,0.026,0.622,0.309,0.043000000000000003,0.714,0.761,0.571,1.0,0.333,0.667,0.361,0.569,0.457,0.757,0.234,0.88
283,21-1092.00,Probation Officers and Correctional Treatment Specialists,0.008,0.087,0.88,0.024,0.571,0.524,0.524,0.761,0.857,0.667,0.314,0.587,0.557,0.496,0.32,0.804
284,21-1093.00,Social and Human Service Assistants,0.104,0.34199999999999997,0.394,0.161,0.524,0.571,0.476,0.857,0.714,0.5,0.281,0.65,0.513,0.4,0.18,0.871
285,21-1094.00,Community Health Workers,0.075,0.253,0.519,0.153,0.857,0.857,0.619,1.0,0.619,0.643,0.32,0.48,0.5,0.499,0.277,0.94
287,21-2011.00,Clergy,0.122,0.152,0.183,0.542,0.953,0.904,0.761,0.904,0.476,0.714,0.497,0.404,0.597,0.306,0.301,0.84
288,21-2021.00,"Directors, Religious Activities and Education",0.009,0.358,0.536,0.098,0.81,0.761,0.524,1.0,0.524,0.714,0.49,0.46,0.864,0.406,0.143,0.997
290,23-1011.00,Lawyers,0.0,0.0,0.0,1.0,0.857,0.857,0.904,0.571,0.619,0.857,0.331,0.649,0.791,0.646,0.167,0.493
291,23-1012.00,Judicial Law Clerks,0.072,0.022,0.0,0.9059999999999999,0.714,0.429,0.524,0.524,0.619,0.619,0.324,0.719,0.627,0.614,0.233,0.45
292,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.0,0.224,0.199,0.5760000000000001,0.81,0.761,0.81,0.667,0.619,0.786,0.224,0.77,0.749,0.573,0.149,0.434
293,23-1022.00,"Arbitrators, Mediators, and Conciliators",0.053,0.053,0.158,0.7360000000000001,0.761,0.761,0.714,0.904,0.476,0.643,0.33,0.617,0.71,0.553,0.143,0.606
294,23-1023.00,"Judges, Magistrate Judges, and Magistrates",0.0,0.006,0.0,0.996,0.904,1.0,0.904,0.953,0.619,0.904,0.316,0.587,0.75,0.536,0.339,0.571
295,23-2011.00,Paralegals and Legal Assistants,0.186,0.248,0.369,0.196,0.571,0.429,0.524,0.714,0.619,0.619,0.291,0.784,0.601,0.651,0.244,0.469
296,23-2093.00,"Title Examiners, Abstractors, and Searchers",0.603,0.263,0.134,0.0,0.571,0.571,0.381,0.524,0.714,0.571,0.166,0.956,0.483,0.381,0.344,0.331
298,25-1011.00,"Business Teachers, Postsecondary",0.0,0.0,0.054,0.946,0.81,0.81,0.761,0.761,0.381,0.714,0.457,0.539,0.544,0.691,0.284,0.919
299,25-1021.00,"Computer Science Teachers, Postsecondary",0.0,0.0,0.11,0.8899999999999999,0.761,0.761,0.714,0.667,0.476,0.739,0.459,0.589,0.321,0.809,0.45,0.829
300,25-1022.00,"Mathematical Science Teachers, Postsecondary",0.0,0.0,0.093,0.908,0.857,0.81,0.761,0.667,0.381,0.69,0.439,0.634,0.28,0.829,0.406,0.881
301,25-1031.00,"Architecture Teachers, Postsecondary",0.0,0.093,0.144,0.763,0.857,0.81,0.761,0.81,0.381,0.761,0.633,0.476,0.359,0.733,0.483,0.959
302,25-1032.00,"Engineering Teachers, Postsecondary",0.0,0.0,0.008,0.9909999999999999,0.81,0.81,0.81,0.619,0.333,0.739,0.451,0.491,0.286,0.77,0.691,0.823
303,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",0.0,0.014,0.014,0.9710000000000001,0.81,0.81,0.81,0.714,0.524,0.857,0.41,0.487,0.376,0.767,0.581,0.886
304,25-1042.00,"Biological Science Teachers, Postsecondary",0.0,0.013,0.002,0.985,0.81,0.81,0.81,0.714,0.524,0.833,0.473,0.516,0.29,0.844,0.57,0.889
305,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",0.0,0.0,0.0,0.999,0.761,0.761,0.714,0.571,0.476,0.786,0.434,0.501,0.339,0.827,0.574,0.934
306,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",0.0,0.0,0.0,1.0,0.857,0.81,0.761,0.571,0.381,0.761,0.447,0.549,0.331,0.793,0.563,0.941
307,25-1052.00,"Chemistry Teachers, Postsecondary",0.0,0.003,0.021,0.9770000000000001,0.857,0.81,0.761,0.667,0.476,0.833,0.423,0.539,0.297,0.831,0.579,0.817
308,25-1053.00,"Environmental Science Teachers, Postsecondary",0.0,0.0,0.0,1.0,0.857,0.761,0.761,0.571,0.381,0.739,0.486,0.511,0.337,0.893,0.537,0.897
309,25-1054.00,"Physics Teachers, Postsecondary",0.0,0.0,0.0,0.999,0.81,0.761,0.81,0.667,0.524,0.81,0.459,0.56,0.337,0.839,0.536,0.859
310,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",0.0,0.0,0.0,1.0,0.857,0.904,0.761,0.619,0.476,0.881,0.503,0.496,0.341,0.86,0.516,0.936
311,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.002,0.0,0.0,0.998,0.857,0.81,0.761,0.81,0.381,0.739,0.549,0.426,0.427,0.751,0.426,1.0
312,25-1063.00,"Economics Teachers, Postsecondary",0.0,0.0,0.022,0.9790000000000001,0.857,0.81,0.761,0.571,0.381,0.739,0.437,0.554,0.484,0.79,0.387,0.889
313,25-1064.00,"Geography Teachers, Postsecondary",0.0,0.0,0.0,1.001,0.761,0.81,0.761,0.714,0.381,0.739,0.523,0.527,0.361,0.823,0.49,0.951
314,25-1065.00,"Political Science Teachers, Postsecondary",0.0,0.0,0.0,1.0,0.81,0.81,0.81,0.714,0.524,0.857,0.516,0.451,0.459,0.78,0.301,0.964
315,25-1066.00,"Psychology Teachers, Postsecondary",0.0,0.0,0.0,1.0010000000000001,0.81,0.761,0.761,0.761,0.524,0.761,0.55,0.466,0.339,0.794,0.304,1.0
316,25-1067.00,"Sociology Teachers, Postsecondary",0.0,0.0,0.0,1.0,0.81,0.81,0.761,0.761,0.381,0.739,0.51,0.487,0.366,0.796,0.361,0.951
318,25-1071.00,"Health Specialties Teachers, Postsecondary",0.0,0.075,0.125,0.7989999999999999,0.81,0.81,0.81,0.714,0.476,0.857,0.419,0.53,0.267,0.784,0.497,0.996
319,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",0.0,0.0,0.05,0.9490000000000001,0.667,0.761,0.667,0.857,0.571,0.81,0.47,0.479,0.307,0.691,0.43,1.0
320,25-1081.00,"Education Teachers, Postsecondary",0.0,0.0,0.006,0.994,0.81,0.857,0.714,0.857,0.476,0.81,0.503,0.506,0.376,0.701,0.384,1.0
321,25-1082.00,"Library Science Teachers, Postsecondary",0.0,0.009,0.009,0.981,0.857,0.81,0.714,0.667,0.381,0.739,0.487,0.563,0.327,0.781,0.394,0.907
322,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",0.016,0.193,0.043,0.747,0.81,0.857,0.714,0.619,0.476,0.81,0.463,0.523,0.491,0.699,0.371,0.976
323,25-1112.00,"Law Teachers, Postsecondary",0.0,0.011,0.0,0.99,0.857,0.857,0.81,0.714,0.476,0.857,0.49,0.537,0.503,0.759,0.331,0.927
324,25-1113.00,"Social Work Teachers, Postsecondary",0.0,0.0,0.0,0.999,0.81,0.761,0.761,0.857,0.524,0.761,0.521,0.489,0.411,0.706,0.331,1.0
325,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",0.0,0.014,0.139,0.847,0.81,0.857,0.667,0.857,0.667,0.833,0.837,0.347,0.303,0.586,0.457,0.99
326,25-1122.00,"Communications Teachers, Postsecondary",0.0,0.0,0.0,0.9999999999999999,0.81,0.81,0.761,0.857,0.381,0.667,0.557,0.48,0.456,0.656,0.29,1.0
327,25-1123.00,"English Language and Literature Teachers, Postsecondary",0.096,0.0,0.0,0.904,0.857,0.81,0.714,0.904,0.476,0.857,0.599,0.507,0.344,0.68,0.336,1.0
328,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",0.0,0.0,0.087,0.9119999999999999,0.714,0.857,0.667,0.857,0.381,0.69,0.57,0.529,0.367,0.631,0.303,1.0
329,25-1125.00,"History Teachers, Postsecondary",0.0,0.0,0.0,1.0,0.81,0.81,0.761,0.667,0.476,0.786,0.556,0.51,0.357,0.773,0.41,0.984
330,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",0.0,0.0,0.0,1.0,0.81,0.81,0.761,0.761,0.333,0.69,0.539,0.47,0.403,0.734,0.349,1.0
331,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",0.0,0.028999999999999998,0.037,0.935,0.81,0.81,0.667,0.81,0.524,0.761,0.491,0.504,0.387,0.701,0.431,1.0
332,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",0.0,0.0,0.05,0.95,0.81,0.81,0.714,0.857,0.381,0.69,0.49,0.49,0.359,0.683,0.453,1.0
333,25-1194.00,"Career/Technical Education Teachers, Postsecondary",0.022,0.654,0.202,0.123,0.714,0.714,0.619,0.714,0.429,0.619,0.449,0.47,0.3,0.593,0.536,0.944
335,25-2011.00,"Preschool Teachers, Except Special Education",0.288,0.34099999999999997,0.172,0.199,0.667,0.619,0.429,0.904,0.524,0.524,0.58,0.513,0.376,0.396,0.387,1.0
336,25-2012.00,"Kindergarten Teachers, Except Special Education",0.0,0.0,0.757,0.243,0.761,0.714,0.619,0.953,0.524,0.714,0.571,0.533,0.351,0.45,0.37,1.0
337,25-2021.00,"Elementary School Teachers, Except Special Education",0.0,0.0,0.782,0.218,0.81,0.761,0.619,0.904,0.714,0.714,0.57,0.504,0.367,0.483,0.364,1.0
338,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",0.096,0.0,0.669,0.235,0.714,0.761,0.571,0.904,0.476,0.667,0.569,0.514,0.364,0.473,0.377,1.0
339,25-2023.00,"Career/Technical Education Teachers, Middle School",0.0,0.006,0.649,0.345,0.761,0.761,0.619,0.857,0.619,0.667,0.52,0.51,0.314,0.487,0.396,1.0
340,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",0.0,0.0,0.526,0.473,0.81,0.714,0.571,1.0,0.667,0.761,0.53,0.519,0.393,0.461,0.407,1.0
341,25-2032.00,"Career/Technical Education Teachers, Secondary School",0.0,0.155,0.736,0.11,0.761,0.761,0.619,0.857,0.619,0.69,0.517,0.497,0.387,0.477,0.404,1.0
342,25-2051.00,"Special Education Teachers, Preschool",0.0,0.044,0.317,0.638,0.81,0.667,0.619,1.0,0.571,0.571,0.55,0.469,0.246,0.523,0.346,1.0
345,25-2057.00,"Special Education Teachers, Middle School",0.0,0.0,0.409,0.591,0.714,0.667,0.524,0.904,0.571,0.761,0.554,0.481,0.257,0.556,0.347,1.0
346,25-2058.00,"Special Education Teachers, Secondary School",0.0,0.007,0.651,0.34099999999999997,0.81,0.761,0.619,1.0,0.571,0.714,0.536,0.463,0.279,0.551,0.373,1.0
348,25-2059.01,Adapted Physical Education Specialists,0.0,0.0,0.381,0.619,0.857,0.714,0.571,1.0,0.667,0.547,0.376,0.513,0.256,0.517,0.623,1.0
349,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.114,0.14700000000000002,0.408,0.332,0.714,0.714,0.667,0.857,0.524,0.667,0.533,0.496,0.419,0.446,0.349,1.0
350,25-3021.00,Self-Enrichment Teachers,0.135,0.323,0.181,0.362,0.667,0.81,0.619,0.857,0.429,0.571,0.591,0.427,0.454,0.421,0.373,1.0
352,25-3041.00,Tutors,0.091,0.45499999999999996,0.409,0.046,0.761,0.81,0.476,0.857,0.333,0.596,0.463,0.473,0.234,0.467,0.323,0.929
354,25-4011.00,Archivists,0.0,0.0,0.064,0.935,0.667,0.714,0.619,0.619,0.429,0.5,0.421,0.86,0.274,0.654,0.397,0.443
355,25-4012.00,Curators,0.0,0.049,0.061,0.89,0.81,0.857,0.714,0.571,0.476,0.761,0.49,0.686,0.55,0.49,0.383,0.526
356,25-4013.00,Museum Technicians and Conservators,0.013,0.275,0.241,0.471,0.667,0.619,0.524,0.667,0.619,0.619,0.449,0.654,0.216,0.459,0.81,0.377
357,25-4022.00,Librarians and Media Collections Specialists,0.0,0.183,0.082,0.7350000000000001,0.667,0.739,0.524,0.833,0.596,0.774,0.379,0.833,0.394,0.517,0.333,0.577
358,25-4031.00,Library Technicians,0.15,0.535,0.296,0.018,0.429,0.524,0.333,0.761,0.667,0.571,0.229,0.93,0.267,0.384,0.439,0.581
359,25-9021.00,Farm and Home Management Educators,0.037,0.037,0.148,0.778,0.714,0.761,0.619,0.857,0.381,0.596,0.33,0.454,0.499,0.611,0.566,0.69
360,25-9031.00,Instructional Coordinators,0.0,0.0,0.248,0.75,0.81,0.857,0.667,0.857,0.429,0.69,0.497,0.576,0.607,0.569,0.241,0.88
363,25-9044.00,"Teaching Assistants, Postsecondary",0.0,0.015,0.573,0.412,0.714,0.619,0.524,0.571,0.619,0.524,0.31,0.664,0.399,0.463,0.294,0.966
366,27-1011.00,Art Directors,0.097,0.111,0.68,0.112,0.857,0.904,0.714,0.524,0.476,0.833,1.0,0.546,0.759,0.386,0.431,0.4
367,27-1012.00,Craft Artists,0.36,0.36000000000000004,0.24,0.04,0.857,0.761,0.429,0.239,0.286,0.524,0.857,0.364,0.414,0.269,0.837,0.246
368,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.273,0.373,0.351,0.003,0.81,0.81,0.667,0.571,0.286,0.667,1.0,0.334,0.339,0.383,0.58,0.324
369,27-1014.00,Special Effects Artists and Animators,0.055,0.41400000000000003,0.528,0.003,0.714,0.81,0.619,0.619,0.476,0.69,1.0,0.46,0.387,0.4,0.531,0.301
371,27-1021.00,Commercial and Industrial Designers,0.043,0.278,0.679,0.0,0.714,0.667,0.667,0.714,0.619,0.667,0.793,0.497,0.527,0.579,0.663,0.263
372,27-1022.00,Fashion Designers,0.041999999999999996,0.451,0.507,0.0,0.81,0.761,0.667,0.571,0.286,0.761,1.0,0.416,0.567,0.31,0.617,0.333
373,27-1023.00,Floral Designers,0.767,0.154,0.079,0.0,0.714,0.667,0.429,0.667,0.381,0.429,0.629,0.561,0.541,0.246,0.733,0.351
374,27-1024.00,Graphic Designers,0.15,0.1,0.65,0.1,0.81,0.761,0.667,0.571,0.571,0.643,1.0,0.54,0.516,0.404,0.457,0.33
375,27-1025.00,Interior Designers,0.0,0.08,0.84,0.08,0.81,0.81,0.619,0.714,0.333,0.643,0.81,0.533,0.477,0.454,0.633,0.399
376,27-1026.00,Merchandise Displayers and Window Trimmers,0.395,0.42900000000000005,0.176,0.0,0.571,0.667,0.381,0.714,0.524,0.524,0.693,0.429,0.601,0.23,0.634,0.316
377,27-1027.00,Set and Exhibit Designers,0.0,0.14300000000000002,0.333,0.524,0.81,0.714,0.524,0.476,0.524,0.667,1.0,0.469,0.559,0.407,0.509,0.44
379,27-2011.00,Actors,0.616,0.038,0.207,0.139,0.81,0.667,0.667,0.857,0.286,0.596,1.0,0.239,0.571,0.304,0.33,0.586
380,27-2012.00,Producers and Directors,0.152,0.281,0.567,0.0,0.833,0.904,0.857,0.739,0.404,0.726,0.879,0.507,0.826,0.319,0.306,0.447
381,27-2012.03,Media Programming Directors,0.312,0.16799999999999998,0.52,0.0,0.857,0.857,0.857,0.714,0.524,0.761,0.56,0.677,0.964,0.317,0.183,0.53
